algo,users,traffic,weight_name,blocking_rate_mean,blocking_rate_std,spectral_efficiency_mean,spectral_efficiency_std,energy_efficiency_mean,energy_efficiency_std,total_power_mean,total_power_std,qos_violations_mean,qos_violations_std,episode_reward_mean,episode_reward_std,invalid_action_rate_mean,invalid_action_rate_std,selector_evaluated_actions_mean,selector_evaluated_actions_std
qlearning,25,hotspot,equal,0.07200000000000001,0.006928203230275506,157.22808656809863,5.034995168297598,0.25442144929647525,0.023289133458120947,671.8942864847445,69.98473831173368,0.0,0.0,,,,,,
qlearning,25,uniform,equal,0.052,0.010583005244258365,165.26258188850318,6.301818855425698,0.22472903648271492,0.058217761840292544,822.7214752089803,183.92800601042904,0.0,0.0,,,,,,
qlearning,50,hotspot,equal,0.15999999999999995,0.006000000000000005,225.63142416450532,5.056811014439631,0.20709511623647484,0.012040931892301578,1142.786436256374,61.931351577939914,0.0,0.0,,,,,,
qlearning,50,uniform,equal,0.11199999999999999,0.005999999999999995,266.45519341212986,3.4727862433065897,0.2174339210660917,0.03292677553895608,1294.2406250251972,197.84620162213932,0.0,0.0,,,,,,
qlearning,75,hotspot,equal,0.23955555555555552,0.00671096394246286,264.09890112026125,3.3687831063560343,0.1835909250788651,0.01971084297923135,1501.2063445424035,180.94919421866376,0.0,0.0,,,,,,
qlearning,75,uniform,equal,0.16133333333333333,0.01404753833713699,330.23384971423536,6.730225861729467,0.2023750847779017,0.026790113443588694,1743.1667010363774,168.0072088236186,0.0,0.0,,,,,,
qlearning,100,hotspot,equal,0.301,0.010148891565092228,290.9609715653914,6.026582370304903,0.15981054432313335,0.00989372504639489,1889.1982325350043,137.00151284248616,0.0,0.0,,,,,,
qlearning,100,uniform,equal,0.19833333333333333,0.0037859388972001874,375.8198088653862,3.3772789994051875,0.1866736994636823,0.010802295924065553,2060.3964806836243,119.71730677654182,0.0,0.0,,,,,,
qlearning,125,hotspot,equal,0.36106666666666665,0.011712102003198797,311.9301752790174,17.949800049387687,0.15783296017713358,0.005555103851861792,2034.5095283716319,87.3641784326469,0.0,0.0,,,,,,
qlearning,125,uniform,equal,0.2392,0.0069742383096650755,417.0891732993982,5.742005591449544,0.1774269919850446,0.013452835736803325,2463.4470157997075,173.674004975012,0.0,0.0,,,,,,
qlearning,150,hotspot,equal,0.4086666666666667,0.020986768318262947,332.25251419193586,14.092324006817393,0.15718513435742856,0.012383111466468246,2229.454488668782,170.97929550813677,0.0,0.0,,,,,,
qlearning,150,uniform,equal,0.2833333333333333,0.012858201014657332,438.1982982665881,10.449015533114787,0.1467963162983075,0.004692653416516218,3079.427161248224,123.1781472659256,0.0,0.0,,,,,,
qlearning,200,hotspot,equal,0.4898333333333333,0.007147260547463864,368.10495716445445,8.318272545124145,0.1581227364673979,0.0026432774199908393,2428.181203818287,43.686289890903126,0.0,0.0,,,,,,
qlearning,200,uniform,equal,0.35666666666666663,0.00718215380880513,474.16416054675784,8.490589464648398,0.15242238480470885,0.003917755031319313,3186.7388150793136,86.39955969944256,0.0,0.0,,,,,,
random,25,hotspot,equal,0.13333333333333333,0.08326663997864532,161.22782688052155,20.039611864321987,0.4653984711768131,0.23723689013276503,427.9691613742437,254.368068852556,0.0,0.0,,,,,,
random,25,uniform,equal,0.09333333333333334,0.023094010767585025,164.04517224713888,12.578627465606903,0.35505346000486204,0.060898976164794776,473.7162546332897,104.44541783648503,0.0,0.0,,,,,,
random,50,hotspot,equal,0.2333333333333333,0.04618802153517007,212.1893231167583,9.607478292126526,0.2753003574945205,0.08893601185166816,826.6854160075333,263.3720029864052,0.0,0.0,,,,,,
random,50,uniform,equal,0.26666666666666666,0.06429100507328639,218.18978614474983,22.83911909633229,0.32163507754032317,0.08438610455929173,726.8185106778919,280.8461717324873,0.0,0.0,,,,,,
random,75,hotspot,equal,0.2933333333333333,0.05811865258054235,247.76919448528076,3.5029283992844067,0.2196472765735397,0.05520362642791713,1174.4280046798128,278.47596865599536,0.0,0.0,,,,,,
